issuer_name;seller_name;seller_org_id;dept_name;seller_dept_id;payment_channel;tyyp;tehinguid;summas;price_add_sum;fee_sum;a_date;buyer_channel;piirkond;liiniomanik
Mugav Maksekeskus OÜ Harjumaa;Kaardilahendus OÜ;9681;Kaardilahendus OÜ;9681;C;pilet;1;13;0;0;2026-4;Seller;Piirkond 1;Liiniomanik 1
Mugav Maksekeskus OÜ Harjumaa;Sõidupunkt Partner OÜ;5896;Sõidupunkt Partner OÜ;5896;C;pilet;0;0;0;0;2026-4;Seller;Piirkond 2;Liiniomanik 2
Mugav Maksekeskus OÜ Harjumaa;Piletivõrk OÜ;8799;Piletivõrk OÜ;8799;E;pilet;1;12,2;0;0;2026-4;Seller;Piirkond 2;Liiniomanik 2
Mugav Maksekeskus OÜ Harjumaa;Piletivõrk OÜ;8799;Piletivõrk OÜ;8799;E;pilet;1;12,2;0;0;2026-4;Seller;Piirkond 2;Liiniomanik 2
Mugav Maksekeskus OÜ Harjumaa;Kaardilahendus OÜ;9681;Kaardilahendus OÜ;9681;C;pilet;1;12,2;0;0;2026-4;Seller;Piirkond 2;Liiniomanik 2
Mugav Maksekeskus OÜ;Terminalipunkt OÜ;7835;Terminalipunkt OÜ;7835;PPE;pilet;-1;-60;0;0;2026-4;Seller;Piirkond 3;Liiniomanik 3
Sõidukaardi Keskus OÜ;Tasupunkt OÜ;953;Tasupunkt OÜ;953;E;rahalaadimine;2;110;0;0;2026-4;Driver sales;Piirkond 4;Liiniomanik 4
Sõidukaardi Keskus OÜ;Tasupunkt OÜ;953;Tasupunkt OÜ;953;C;rahalaadimine;13;10;0;0;2026-4;Driver sales;Piirkond 4;Liiniomanik 4
Sõidukaardi Keskus OÜ;Kiire Kaart OÜ;5032;Kiire Kaart OÜ;5032;E;rahalaadimine;21;13;0;0;2026-4;Driver sales;Piirkond 5;Liiniomanik 5
Sõidukaardi Keskus OÜ;Kiire Kaart OÜ;5032;Kiire Kaart OÜ;5032;C;rahalaadimine;77;30;0;0;2026-4;Driver sales;Piirkond 5;Liiniomanik 5
Sõidukaardi Keskus OÜ;Kiire Kaart OÜ;5032;Kiire Kaart OÜ;5032;C;rahalaadimine;3;20;0;0;2026-4;Driver sales;Piirkond 6;Liiniomanik 6
Sõidukaardi Keskus OÜ;Kiire Kaart OÜ;5032;Kiire Kaart OÜ;5032;C;rahalaadimine;113;1213;0;0;2026-4;Driver sales;Piirkond 7;Liiniomanik 7
Sõidukaardi Keskus OÜ;Kiire Kaart OÜ;5032;Kiire Kaart OÜ;5032;C;rahalaadimine;22;723;0;0;2026-4;Driver sales;Piirkond 7;Liiniomanik 7
Sõidukaardi Keskus OÜ;Kiire Kaart OÜ;5032;Kiire Kaart OÜ;5032;C;rahalaadimine;3;30;0;0;2026-4;Driver sales;Piirkond 8;Liiniomanik 8
Sõidukaardi Keskus OÜ;Kiire Kaart OÜ;5032;Kiire Kaart OÜ;5032;C;rahalaadimine;233;2713;0;0;2026-4;Driver sales;Piirkond 9;Liiniomanik 9
Sõidukaardi Keskus OÜ;Kiire Kaart OÜ;5032;Kiire Kaart OÜ;5032;C;rahalaadimine;11;220;0;0;2026-4;Driver sales;Piirkond 10;Liiniomanik 10
Sõidukaardi Keskus OÜ;Kiire Kaart OÜ;5032;Kiire Kaart OÜ;5032;E;rahalaadimine;3;60;0;0;2026-4;Driver sales;Piirkond 10;Liiniomanik 10
Sõidukaardi Keskus OÜ;Kiire Kaart OÜ;5032;Kiire Kaart OÜ;5032;C;rahalaadimine;23;330;0;0;2026-4;Driver sales;Piirkond 11;Liiniomanik 11
Sõidukaardi Keskus OÜ;Kiire Kaart OÜ;5032;Kiire Kaart OÜ;5032;E;rahalaadimine;10;130;0;0;2026-4;Driver sales;Piirkond 11;Liiniomanik 11
Sõidukaardi Keskus OÜ;Kiire Kaart OÜ;1645;Kiire Kaart OÜ;1645;C;rahalaadimine;301;1320;0;0;2026-4;Driver sales;Piirkond 12;Liiniomanik 12
Sõidukaardi Keskus OÜ;Kiire Kaart OÜ ;4288;Kiire Kaart OÜ ;4288;E;rahalaadimine;21;33;0;0;2026-4;Driver sales;Piirkond 13;Liiniomanik 13
Sõidukaardi Keskus OÜ;Kiire Kaart OÜ ;4288;Kiire Kaart OÜ ;4288;C;rahalaadimine;3;733;0;0;2026-4;Driver sales;Piirkond 14;Liiniomanik 14
Sõidukaardi Keskus OÜ;Kiire Kaart OÜ ;4288;Kiire Kaart OÜ ;4288;C;rahalaadimine;22;220;0;0;2026-4;Driver sales;Piirkond 5;Liiniomanik 5
Sõidukaardi Keskus OÜ;Kiire Kaart OÜ ;4288;Kiire Kaart OÜ ;4288;E;rahalaadimine;1;123;0;0;2026-4;Driver sales;Piirkond 6;Liiniomanik 6
Sõidukaardi Keskus OÜ;Piletisadam OÜ;1321;Piletisadam OÜ;1321;C;rahalaadimine;1;3;0;0;2026-4;Driver sales;Piirkond 7;Liiniomanik 7
Sõidukaardi Keskus OÜ;Kaarditugi OÜ;2846;Kaarditugi OÜ;2846;C;rahalaadimine;222;2220;0;0;2026-4;Driver sales;Piirkond 7;Liiniomanik 7
Sõidukaardi Keskus OÜ;Liinikeskus OÜ;1322;Liinikeskus OÜ;1322;C;rahalaadimine;62;3233;0;0;2026-4;Driver sales;Piirkond 8;Liiniomanik 8
Sõidukaardi Keskus OÜ;Liinikeskus OÜ;1322;Liinikeskus OÜ;1322;C;rahalaadimine;1;3;0;0;2026-4;Driver sales;Piirkond 9;Liiniomanik 9
Sõidukaardi Keskus OÜ;Arvepartner OÜ;4046;Arvepartner OÜ;4046;C;rahalaadimine;30;10;0;0;2026-4;Driver sales;Piirkond 10;Liiniomanik 10
Sõidukaardi Keskus OÜ;Arvepartner OÜ;4046;Arvepartner OÜ;4046;E;rahalaadimine;22;260;0;0;2026-4;Driver sales;Piirkond 10;Liiniomanik 10
Sõidukaardi Keskus OÜ;Sõiduterminal OÜ;1862;Sõiduterminal OÜ;1862;C;rahalaadimine;2;20;0;0;2026-4;Driver sales;Piirkond 11;Liiniomanik 11
Sõidukaardi Keskus OÜ;Maakonnakaart OÜ;2906;Maakonnakaart OÜ;2906;C;rahalaadimine;2;10;0;0;2026-4;Driver sales;Piirkond 11;Liiniomanik 11
Sõidukaardi Keskus OÜ;Müügilaegas OÜ;1773;Müügilaegas OÜ;1773;C;rahalaadimine;163;13000;0;0;2026-4;Driver sales;Piirkond 12;Liiniomanik 12
Sõidukaardi Keskus OÜ;Tehingupunkt OÜ;2064;Tehingupunkt OÜ;2064;C;rahalaadimine;121;1173;0;0;2026-4;Driver sales;Piirkond 13;Liiniomanik 13
Arvelduskeskus OÜ;Arvelduskeskus OÜ;1222;Arvelduskeskus OÜ;1222;PP;pilet;1;13,2;0;0;2026-4;Web;Piirkond 14;Liiniomanik 14
Arvelduskeskus OÜ;Arvelduskeskus OÜ;1222;Arvelduskeskus OÜ;1222;PPE;pilet;2102;232001,62;0;0;2026-4;Web;Piirkond 5;Liiniomanik 5
Arvelduskeskus OÜ;Arvelduskeskus OÜ;1222;Arvelduskeskus OÜ;1222;B;pilet;-162;-12322;0;1201;2026-4;Web;Piirkond 6;Liiniomanik 6
Arvelduskeskus OÜ;Arvelduskeskus OÜ;1222;Arvelduskeskus OÜ;1222;W;pilet;3003;233,26;0;0;2026-4;Web;Piirkond 7;Liiniomanik 7
Arvelduskeskus OÜ;Arvelduskeskus OÜ;1222;Arvelduskeskus OÜ;1222;PP;pilet;1;16;0;0;2026-4;Web;Piirkond 7;Liiniomanik 7
Arvelduskeskus OÜ;Arvelduskeskus OÜ;1222;Arvelduskeskus OÜ;1222;W;pilet;-6;-37,2;0;0;2026-4;Web;Piirkond 8;Liiniomanik 8
Arvelduskeskus OÜ;Arvelduskeskus OÜ;1222;Arvelduskeskus OÜ;1222;PP;pilet;0;0;0;0;2026-4;Web;Piirkond 9;Liiniomanik 9
Arvelduskeskus OÜ;Arvelduskeskus OÜ;1222;Arvelduskeskus OÜ;1222;I;pilet;-237;-3321,06;0;0;2026-4;Web;Piirkond 10;Liiniomanik 10
Linna Piletikeskus OÜ;Kaardilahendus OÜ;9681;Kaardilahendus OÜ;9681;C;pilet;1;33;0;0;2026-4;Seller;Piirkond 10;Liiniomanik 10
Linna Piletikeskus OÜ;Arvopunkt OÜ;6134;Arvopunkt OÜ;6134;C;pilet;9;272,3;0;0;2026-4;Seller;Piirkond 11;Liiniomanik 11
Linna Piletikeskus OÜ;Arvopunkt OÜ;6134;Arvopunkt OÜ;6134;C;pilet;1;11;0;0;2026-4;Seller;Piirkond 11;Liiniomanik 11
Linna Piletikeskus OÜ;Arvopunkt OÜ;6134;Arvopunkt OÜ;6134;C;pilet;3;103,6;0;0;2026-4;Seller;Piirkond 12;Liiniomanik 12
Linna Piletikeskus OÜ;Arvopunkt OÜ;6134;Arvopunkt OÜ;6134;C;pilet;3;103,6;0;0;2026-4;Seller;Piirkond 13;Liiniomanik 13
Linna Piletikeskus OÜ;Terminalipunkt OÜ;7835;Terminalipunkt OÜ;7835;PPE;pilet;-1;-32,27;0;0;2026-4;Seller;Piirkond 14;Liiniomanik 14
Linna Piletikeskus OÜ;Arvopunkt OÜ;6134;Arvopunkt OÜ;6134;C;pilet;17;21,27;0;0;2026-4;Seller;Piirkond 5;Liiniomanik 5
Linna Piletikeskus OÜ;Arvopunkt OÜ;6134;Arvopunkt OÜ;6134;C;pilet;1;32;0;0;2026-4;Seller;Piirkond 6;Liiniomanik 6
